2019-06-15T20:08:18.965	temp=123	air=1234	
2019-06-15T20:08:40.011	temp=123	air=1234	
2019-06-15T20:10:11.025	temp=123	air=1234	
2019-06-15T20:11:19.974	temp=123	air=1234	
2019-06-15T20:11:23.634	temp=123	air=1234	
2019-06-15T20:11:24.320	temp=123	air=1234	
2019-06-15T20:11:24.961	temp=123	air=1234	
2019-06-15T20:26:20.185	name=123	
2019-06-15T20:29:01.566	name=anner	
2019-06-15T20:29:27.446	name=anner	
2019-06-15T20:29:47.374	name=anner	
2019-06-15T20:31:09.939	name=anner	
2019-06-15T20:31:32.125	name=anner	temp=anner	
2019-06-15T20:35:19.823	name=anner	age=21	
2019-06-15T20:36:42.413	temp=23/	
2019-06-15T20:36:59.896	temp=23/	
2019-06-15T20:37:05.369	temp=23	air=123	
2019-06-15T20:37:08.099	temp=23	air=123	
2019-06-15T20:37:11.462	temp=23	air=123	
2019-06-15T20:37:19.821	temp=23	air=123	
2019-06-15T20:37:21	temp=23	air=123	
2019-06-15T20:37:46.534	temp=23	air=123	
2019-06-15T20:37:47.710	temp=23	air=123	
2019-06-15T20:37:48.701	temp=23	air=123	
2019-06-15T20:37:53.148	temp=23	air=126767	
